Clover Boxes		3D691

Blowgun			57C21
Blowtron		78823
Burger Master's Key	57C3D
Burger Master's Notes	57C3F
Crystal			57C05
Darts			57BF7
Dissidents Ring		57C13
Ferry Song		57C17
Ferry Ticket		57C0D
Firefly Tart		57C25
Flower Balsam		57C29
Funfrock's Sabre	57C07
Gazogem			57C11
Gallic Acid		57C15
Gems			57C1D
Horn Triton		57C1F
Holomap			57BF3
Lightening Spell	57C19
Magic Ball		57BF5
Meca Penguin's		57C0F
Memory Viewer		57C23
Money In inventory	57C03
Pearl			57BFD
Pick Axe		57C3B
Protection Spell	57C41
Proto Pack		57C0B
Pyramid Key		57BFF
Sendalls Ball		57BF9
Slate			57C2B
Steering Wheel		57C01
Throne Key		57C39
Translator		57C2D
Tunic			57BFB
Umbrella		57C1B
Wannies Glove		57C09
Walkie Talkie		57C27
Wizards Diploma		57C2F
Mosquibee's Fragment	57C35
Franco's Fragment	57C31
Sup's Fragment		57C33
Wannie's Fragment	57C37

Clovers			57DE9
Zilitos			57DFB //4 Bytes
Magic Points		57E00
Keys			57E01

Kashers			57DF7
Magic Level		57DFF
Health			57F29
